# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] polynom_b[n=17][T/m^n] 
+0.0000000000000000e+00 +4.7160304087439101e+01 -3.4870408045773474e+06 +2.3204688961512006e+14 -5.1187329837160286e+21 +3.4377050505755563e+28 
+1.0000000000000001e-01 +4.7160304088227903e+01 -3.4869227042751694e+06 +2.3198409990525516e+14 -5.1124056813175948e+21 +3.4203883669375244e+28 
+2.0000000000000001e-01 +4.7160304055105165e+01 -3.4865348148718206e+06 +2.3179507600059028e+14 -5.0936183998913425e+21 +3.3690010247088584e+28 
+3.0000000000000004e-01 +4.7160303934869710e+01 -3.4858267999025974e+06 +2.3147884830542803e+14 -5.0626642028039818e+21 +3.2843902486180093e+28 
+4.0000000000000002e-01 +4.7160303674320204e+01 -3.4847483208223456e+06 +2.3103444642462747e+14 -5.0198360695354530e+21 +3.1674030050080865e+28 
+5.0000000000000000e-01 +4.7160303220234276e+01 -3.4832490132901920e+06 +2.3046089345296216e+14 -4.9654264224860875e+21 +3.0188847405516109e+28 
+6.0000000000000009e-01 +4.7160302519419773e+01 -3.4812785503550321e+06 +2.2975722199486697e+14 -4.8997285024985545e+21 +2.8396831440670398e+28 
+7.0000000000000007e-01 +4.7160301518659232e+01 -3.4787865740939407e+06 +2.2892245679253488e+14 -4.8230348737666404e+21 +2.6306440497452531e+28 
+8.0000000000000004e-01 +4.7160300164742011e+01 -3.4757227338797585e+06 +2.2795562433424878e+14 -4.7356382460811411e+21 +2.3926136834777443e+28 
+9.0000000000000002e-01 +4.7160298404466062e+01 -3.4720366909557250e+06 +2.2685575427853562e+14 -4.6378316097252046e+21 +2.1264390530305214e+28 
+1.0000000000000000e+00 +4.7160296184623931e+01 -3.4676780999503974e+06 +2.2562187459274406e+14 -4.5299078082951239e+21 +1.8329667614621234e+28 
+1.1000000000000001e+00 +4.7160293472929183e+01 -3.4626403009510632e+06 +2.2426138220002312e+14 -4.4127729425781511e+21 +1.5146929915674823e+28 
+1.2000000000000002e+00 +4.7160290320805501e+01 -3.4570914114073403e+06 +2.2281515934204619e+14 -4.2897869807687906e+21 +1.1807145770361971e+28 
+1.3000000000000000e+00 +4.7160286800570653e+01 -3.4512432006265232e+06 +2.2133244863154878e+14 -4.1649224071063200e+21 +8.4177589635445104e+27 
+1.4000000000000001e+00 +4.7160282984587795e+01 -3.4453074959776313e+06 +2.1986250767123612e+14 -4.0421530071428366e+21 +5.0862491287165151e+27 
+1.5000000000000000e+00 +4.7160278945180082e+01 -3.4394960741835991e+06 +2.1845458105913397e+14 -3.9254514408569852e+21 +1.9200649485354545e+27 
+1.6000000000000001e+00 +4.7160274754707878e+01 -3.4340207593583264e+06 +2.1715792559830534e+14 -3.8187914267075632e+21 -9.7331574674620977e+26 
+1.7000000000000002e+00 +4.7160270485489249e+01 -3.4290933200166915e+06 +2.1602178354309562e+14 -3.7261454092367629e+21 -3.4864504301814184e+27 
+1.8000000000000000e+00 +4.7160266209864972e+01 -3.4249255559734162e+06 +2.1509540557126541e+14 -3.6514865840444051e+21 -5.5118755004205327e+27 
+1.9000000000000001e+00 +4.7160262000190386e+01 -3.4217292840232030e+06 +2.1442804638987156e+14 -3.5987884741269148e+21 -6.9421187901000529e+27 
+2.0000000000000000e+00 +4.7160257928803098e+01 -3.4197162996971505e+06 +2.1406895556566762e+14 -3.5720241788994721e+21 -7.6697193370759489e+27 
+2.1000000000000001e+00 +4.7160254056798145e+01 -3.4190300594325601e+06 +2.1405034952155203e+14 -3.5737559584727111e+21 -7.6255533252202219e+27 
+2.2000000000000002e+00 +4.7160250400420310e+01 -3.4195408287340221e+06 +2.1433635663653478e+14 -3.6009066853705848e+21 -6.8937341731795073e+27 
+2.3000000000000003e+00 +4.7160246964630190e+01 -3.4210504793804637e+06 +2.1487405799038241e+14 -3.6489871647195954e+21 -5.5967462233056087e+27 
+2.4000000000000004e+00 +4.7160243754420350e+01 -3.4233609255352449e+06 +2.1561054583153856e+14 -3.7135091833917591e+21 -3.8570465488666561e+27 
+2.5000000000000000e+00 +4.7160240774797167e+01 -3.4262740993695534e+06 +2.1649291698759156e+14 -3.7899849201983024e+21 -1.7970815466865603e+27 
+2.6000000000000001e+00 +4.7160238030738981e+01 -3.4295918972274861e+06 +2.1746825914033791e+14 -3.8739257671589870e+21 +4.6068086010945063e+26 
+2.7000000000000002e+00 +4.7160235527237575e+01 -3.4331162319973125e+06 +2.1848366410182725e+14 -3.9608434664207370e+21 +2.7937822288217805e+27 
+2.8000000000000003e+00 +4.7160233269277676e+01 -3.4366490075047258e+06 +2.1948622138132212e+14 -4.0462495626948767e+21 +5.0797587282710744e+27 
+2.9000000000000004e+00 +4.7160231261843727e+01 -3.4399921281413781e+06 +2.2042302075761397e+14 -4.1256556316074967e+21 +7.1961475307556216e+27 
+3.0000000000000000e+00 +4.7160229509935178e+01 -3.4429475170659772e+06 +2.2124115673427191e+14 -4.1945736500783245e+21 +9.0204966689765699e+27 
+3.1000000000000001e+00 +4.7160228006327671e+01 -3.4453598263306837e+06 +2.2189935291126847e+14 -4.2495166213119190e+21 +1.0458278640160553e+28 
+3.2000000000000002e+00 +4.7160226694892103e+01 -3.4472446163456598e+06 +2.2240284773574781e+14 -4.2910015272314696e+21 +1.1526660323668246e+28 
+3.3000000000000003e+00 +4.7160225507322139e+01 -3.4486602366715837e+06 +2.2276852432883347e+14 -4.3205477278627288e+21 +1.2270770275729256e+28 
+3.4000000000000004e+00 +4.7160224375296060e+01 -3.4496650159056620e+06 +2.2301326023017219e+14 -4.3396740891132423e+21 +1.2735723256957608e+28 
+3.5000000000000000e+00 +4.7160223230484199e+01 -3.4503172751856563e+06 +2.2315393143372897e+14 -4.3498993637036738e+21 +1.2966631304415983e+28 
+3.6000000000000001e+00 +4.7160222004562620e+01 -3.4506753404877558e+06 +2.2320741482838469e+14 -4.3527423626574551e+21 +1.3008607699380856e+28 
+3.7000000000000002e+00 +4.7160220629213946e+01 -3.4507975472787670e+06 +2.2319058987936288e+14 -4.3497221269954321e+21 +1.2906772171745585e+28 
+3.8000000000000003e+00 +4.7160219036105829e+01 -3.4507422116364795e+06 +2.2312033107960094e+14 -4.3423572691968873e+21 +1.2706232717179081e+28 
+3.9000000000000004e+00 +4.7160217156918058e+01 -3.4505676650526258e+06 +2.2301351682242681e+14 -4.3321667345738970e+21 +1.2452106377276566e+28 
+4.0000000000000000e+00 +4.7160214923336376e+01 -3.4503322471647612e+06 +2.2288702769076306e+14 -4.3206696637481621e+21 +1.2189515677076855e+28 
+4.1000000000000005e+00 +4.7160212292034863e+01 -3.4500897150647100e+06 +2.2275669386908200e+14 -4.3092737164052152e+21 +1.1958715778218638e+28 
+4.2000000000000002e+00 +4.7160209319793871e+01 -3.4498756963037853e+06 +2.2263419624536888e+14 -4.2989451920049318e+21 +1.1780618508030310e+28 
+4.2999999999999998e+00 +4.7160206088396123e+01 -3.4497212548059965e+06 +2.2253017030762375e+14 -4.2905393489279173e+21 +1.1671280555111368e+28 
+4.4000000000000004e+00 +4.7160202679628632e+01 -3.4496574600945003e+06 +2.2245525299842278e+14 -4.2849115719669111e+21 +1.1646762087904097e+28 
+4.5000000000000000e+00 +4.7160199175260011e+01 -3.4497153571258062e+06 +2.2242007479581228e+14 -4.2829166786693305e+21 +1.1723107543535143e+28 
+4.6000000000000005e+00 +4.7160195657087733e+01 -3.4499260289793331e+06 +2.2243527613946081e+14 -4.2854103566867466e+21 +1.1916385413868938e+28 
+4.7000000000000002e+00 +4.7160192206881533e+01 -3.4503205225335411e+06 +2.2251148809548869e+14 -4.2932474805426727e+21 +1.2242641828026119e+28 
+4.8000000000000007e+00 +4.7160188906448965e+01 -3.4509299337291522e+06 +2.2265935440295219e+14 -4.3072840226692043e+21 +1.2717953085400366e+28 
+4.9000000000000004e+00 +4.7160185837548070e+01 -3.4517852941590687e+06 +2.2288950212311816e+14 -4.3283745060549794e+21 +1.3358355549653031e+28 
+5.0000000000000000e+00 +4.7160183081967595e+01 -3.4529176754959407e+06 +2.2321256877088694e+14 -4.3573743670499879e+21 +1.4179910856944455e+28 
+5.1000000000000005e+00 +4.7160180696289174e+01 -3.4543442564239833e+06 +2.2363418030977266e+14 -4.3947082221186282e+21 +1.5189076676880847e+28 
+5.2000000000000002e+00 +4.7160178636151002e+01 -3.4560264952529664e+06 +2.2413987849475888e+14 -4.4390741378366633e+21 +1.6353805392545574e+28 
+5.3000000000000007e+00 +4.7160176832002193e+01 -3.4579119812287930e+06 +2.2471019987240769e+14 -4.4887399226908952e+21 +1.7632461132623715e+28 
+5.4000000000000004e+00 +4.7160175214277878e+01 -3.4599482844833033e+06 +2.2532567584426059e+14 -4.5419729256361823e+21 +1.8983395108291170e+28 
+5.5000000000000000e+00 +4.7160173713428442e+01 -3.4620829958454263e+06 +2.2596684336443569e+14 -4.5970409900158956e+21 +2.0364972391540588e+28 
+5.6000000000000005e+00 +4.7160172259879261e+01 -3.4642636738605108e+06 +2.2661423100671128e+14 -4.6522112292006710e+21 +2.1735537900313661e+28 
+5.7000000000000002e+00 +4.7160170784086020e+01 -3.4664379163342724e+06 +2.2724837753772225e+14 -4.7057516441984702e+21 +2.3053461052730928e+28 
+5.8000000000000007e+00 +4.7160169216468454e+01 -3.4685532727691042e+06 +2.2784980895677453e+14 -4.7559291121755373e+21 +2.4277080025675245e+28 
+5.9000000000000004e+00 +4.7160167487473721e+01 -3.4705573303889316e+06 +2.2839906133677409e+14 -4.8010114023290600e+21 +2.5364757889905505e+28 
