# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +4.8083655048003116e+01 -3.4998685079651261e+06 +2.2143487889671353e+14 -3.9096739548631977e+21 
+1.0000000000000001e-01 +4.8083654870363958e+01 -3.4997131231673853e+06 +2.2141010535884703e+14 -3.9087694825115699e+21 
+2.0000000000000001e-01 +4.8083654367788562e+01 -3.4992783580022217e+06 +2.2134068523228956e+14 -3.9062277002870527e+21 
+3.0000000000000004e-01 +4.8083653585773021e+01 -3.4986112858331446e+06 +2.2123396802066200e+14 -3.9023060230198028e+21 
+4.0000000000000002e-01 +4.8083652569817673e+01 -3.4977589827949600e+06 +2.2109730356401656e+14 -3.8972618760240245e+21 
+5.0000000000000000e-01 +4.8083651365425752e+01 -3.4967685265832790e+06 +2.2093804186698575e+14 -3.8913526892857456e+21 
+6.0000000000000009e-01 +4.8083650018096762e+01 -3.4956869928189344e+06 +2.2076353271057056e+14 -3.8848358863518916e+21 
+7.0000000000000007e-01 +4.8083648573328411e+01 -3.4945614558971240e+06 +2.2058112572141419e+14 -3.8779688858400331e+21 
+8.0000000000000004e-01 +4.8083647076623741e+01 -3.4934389934712653e+06 +2.2039817090621947e+14 -3.8710091179388494e+21 
+9.0000000000000002e-01 +4.8083645573483736e+01 -3.4923666819798620e+06 +2.2022201813468122e+14 -3.8642140087575522e+21 
+1.0000000000000000e+00 +4.8083644109405910e+01 -3.4913915958265727e+06 +2.2006001704040059e+14 -3.8578409772328655e+21 
+1.1000000000000001e+00 +4.8083642720108799e+01 -3.4905503869350436e+06 +2.1991798241848947e+14 -3.8520983126525335e+21 
+1.2000000000000002e+00 +4.8083641402171459e+01 -3.4898380034960890e+06 +2.1979558811517438e+14 -3.8469977373958954e+21 
+1.3000000000000000e+00 +4.8083640142386251e+01 -3.4892389667404857e+06 +2.1969097262712838e+14 -3.8425018288450149e+21 
+1.4000000000000001e+00 +4.8083638927548051e+01 -3.4887377994208271e+06 +2.1960227462518219e+14 -3.8385731696005119e+21 
+1.5000000000000000e+00 +4.8083637744452297e+01 -3.4883190245464714e+06 +2.1952763280983866e+14 -3.8351743431942881e+21 
+1.6000000000000001e+00 +4.8083636579892875e+01 -3.4879671643354539e+06 +2.1946518579247441e+14 -3.8322679304678188e+21 
+1.7000000000000002e+00 +4.8083635420661530e+01 -3.4876667396403742e+06 +2.1941307202731891e+14 -3.8298165075556025e+21 
+1.8000000000000000e+00 +4.8083634253554521e+01 -3.4874022739263503e+06 +2.1936943025919147e+14 -3.8277826591343840e+21 
+1.9000000000000001e+00 +4.8083633065366747e+01 -3.4871582901484012e+06 +2.1933239919721794e+14 -3.8261289692659277e+21 
+2.0000000000000000e+00 +4.8083631842889758e+01 -3.4869193086819965e+06 +2.1930011721662097e+14 -3.8248180112403973e+21 
+2.1000000000000001e+00 +4.8083630577286712e+01 -3.4866744965194729e+06 +2.1927122352978847e+14 -3.8238204908140699e+21 
+2.2000000000000002e+00 +4.8083629277185345e+01 -3.4864315904718828e+06 +2.1924635856623603e+14 -3.8231395754168340e+21 
+2.3000000000000003e+00 +4.8083627955576979e+01 -3.4862029687998816e+06 +2.1922666297318381e+14 -3.8227865457803605e+21 
+2.4000000000000004e+00 +4.8083626625457462e+01 -3.4860010123096211e+06 +2.1921327768547709e+14 -3.8227726912316249e+21 
+2.5000000000000000e+00 +4.8083625299819701e+01 -3.4858380999901593e+06 +2.1920734342269009e+14 -3.8231092945040080e+21 
+2.6000000000000001e+00 +4.8083623991659820e+01 -3.4857266130137625e+06 +2.1921000116867425e+14 -3.8238076464995605e+21 
+2.7000000000000002e+00 +4.8083622713968829e+01 -3.4856789291751273e+06 +2.1922239150639469e+14 -3.8248790258639485e+21 
+2.8000000000000003e+00 +4.8083621479743741e+01 -3.4857074301911173e+06 +2.1924565548065312e+14 -3.8263347252999461e+21 
+2.9000000000000004e+00 +4.8083620301975323e+01 -3.4858244936900465e+06 +2.1928093365591188e+14 -3.8281860229001742e+21 
+3.0000000000000000e+00 +4.8083619193658329e+01 -3.4860424998499784e+06 +2.1932936688889272e+14 -3.8304442055103522e+21 
+3.1000000000000001e+00 +4.8083618162749801e+01 -3.4863691859305170e+06 +2.1939152572685403e+14 -3.8331050322687573e+21 
+3.2000000000000002e+00 +4.8083617197049527e+01 -3.4867937126330948e+06 +2.1946569881492334e+14 -3.8361021294293140e+21 
+3.3000000000000003e+00 +4.8083616279322854e+01 -3.4873005997110666e+06 +2.1954960471355347e+14 -3.8393536023000258e+21 
+3.4000000000000004e+00 +4.8083615392332071e+01 -3.4878743650947399e+06 +2.1964096177104334e+14 -3.8427775497108822e+21 
+3.5000000000000000e+00 +4.8083614518838843e+01 -3.4884995260783890e+06 +2.1973748824802125e+14 -3.8462920676001899e+21 
