# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=9][T/m^n] polynom_b[n=13][T/m^n] 
+0.0000000000000000e+00 +4.5403971302023010e+01 -3.2947533945528604e+06 +2.0786742273517869e+14 -3.6473289839581877e+21 
+1.0000000000000001e-01 +4.5403971153138421e+01 -3.2946126049560723e+06 +2.0784865804873728e+14 -3.6466650096318520e+21 
+2.0000000000000001e-01 +4.5403970730419076e+01 -3.2942185213704892e+06 +2.0779576425117409e+14 -3.6447853702075421e+21 
+3.0000000000000004e-01 +4.5403970069765023e+01 -3.2936135704111937e+06 +2.0771384159040488e+14 -3.6418584865371393e+21 
+4.0000000000000002e-01 +4.5403969207078418e+01 -3.2928401799892439e+06 +2.0760799045944041e+14 -3.6380527837477612e+21 
+5.0000000000000000e-01 +4.5403968178259234e+01 -3.2919407766349353e+06 +2.0748331109319225e+14 -3.6335366822427424e+21 
+6.0000000000000009e-01 +4.5403967019209070e+01 -3.2909577880050228e+06 +2.0734490386408884e+14 -3.6284786067027793e+21 
+7.0000000000000007e-01 +4.5403965765827166e+01 -3.2899336403461308e+06 +2.0719786898038681e+14 -3.6230469768192260e+21 
+8.0000000000000004e-01 +4.5403964454016979e+01 -3.2889107621754855e+06 +2.0704730689855916e+14 -3.6174102195414400e+21 
+9.0000000000000002e-01 +4.5403963119679148e+01 -3.2879315807449808e+06 +2.0689831795146091e+14 -3.6117367584741890e+21 
+1.0000000000000000e+00 +4.5403961798713105e+01 -3.2870385221239342e+06 +2.0675600231164547e+14 -3.6061950119536241e+21 
+1.1000000000000001e+00 +4.5403960527246504e+01 -3.2862726959673087e+06 +2.0662573249919797e+14 -3.6009714517066452e+21 
+1.2000000000000002e+00 +4.5403959342311055e+01 -3.2856699399152603e+06 +2.0651396961612541e+14 -3.5963247371368609e+21 
+1.3000000000000000e+00 +4.5403958281164286e+01 -3.2852647733652201e+06 +2.0642744688077938e+14 -3.5925315736882250e+21 
+1.4000000000000001e+00 +4.5403957381064309e+01 -3.2850917162463148e+06 +2.0637289758174956e+14 -3.5898686690715459e+21 
+1.5000000000000000e+00 +4.5403956679265441e+01 -3.2851852859679135e+06 +2.0635705470141888e+14 -3.5886127214699033e+21 
+1.6000000000000001e+00 +4.5403956213027861e+01 -3.2855800036334060e+06 +2.0638665166199019e+14 -3.5890404425985541e+21 
+1.7000000000000002e+00 +4.5403956019608273e+01 -3.2863103881466258e+06 +2.0646842162446728e+14 -3.5914285361718661e+21 
+1.8000000000000000e+00 +4.5403956136264171e+01 -3.2874109591191951e+06 +2.0660909784137766e+14 -3.5960537088110960e+21 
+1.9000000000000001e+00 +4.5403956600251597e+01 -3.2889162349176737e+06 +2.0681541340532350e+14 -3.6031926620341157e+21 
+2.0000000000000000e+00 +4.5403957448830432e+01 -3.2908607365445867e+06 +2.0709410172728744e+14 -3.6131221072297806e+21 
+2.1000000000000001e+00 +4.5403958684236201e+01 -3.2932459844939294e+06 +2.0744643296953822e+14 -3.6259080160746579e+21 
+2.2000000000000002e+00 +4.5403960168635528e+01 -3.2959415157535286e+06 +2.0785182647891438e+14 -3.6407734679250220e+21 
+2.3000000000000003e+00 +4.5403961729170177e+01 -3.2987838663806338e+06 +2.0828423830019394e+14 -3.6567308007581596e+21 
+2.4000000000000004e+00 +4.5403963192983760e+01 -3.3016095737599977e+06 +2.0871762464085491e+14 -3.6727923576206682e+21 
+2.5000000000000000e+00 +4.5403964387221393e+01 -3.3042551761883614e+06 +2.0912594181300881e+14 -3.6879704847047936e+21 
+2.6000000000000001e+00 +4.5403965139028799e+01 -3.3065572122554067e+06 +2.0948314615965131e+14 -3.7012775290951974e+21 
+2.7000000000000002e+00 +4.5403965275549062e+01 -3.3083522189937774e+06 +2.0976319384552481e+14 -3.7117258325102302e+21 
+2.8000000000000003e+00 +4.5403964623925731e+01 -3.3094767335990737e+06 +2.0994004104766656e+14 -3.7183277369229868e+21 
+2.9000000000000004e+00 +4.5403963011302153e+01 -3.3097672933448572e+06 +2.0998764396212900e+14 -3.7200955850576112e+21 
+3.0000000000000000e+00 +4.5403960264824846e+01 -3.3090604373630607e+06 +2.0987995900105269e+14 -3.7160417262159067e+21 
+3.1000000000000001e+00 +4.5403956283988336e+01 -3.3072605298649408e+06 +2.0960161619500916e+14 -3.7055808159529550e+21 
+3.2000000000000002e+00 +4.5403951257689172e+01 -3.3045432420176971e+06 +2.0917994089018522e+14 -3.6897367618531985e+21 
+3.3000000000000003e+00 +4.5403945447176426e+01 -3.3011520727917650e+06 +2.0865293237050888e+14 -3.6699357875206540e+21 
+3.4000000000000004e+00 +4.5403939113698847e+01 -3.2973305211692546e+06 +2.0805858993437353e+14 -3.6476041172225884e+21 
+3.5000000000000000e+00 +4.5403932518503488e+01 -3.2933220849766941e+06 +2.0743491273528669e+14 -3.6241679706376330e+21 
+3.6000000000000001e+00 +4.5403925922839996e+01 -3.2893702634917097e+06 +2.0681990009303403e+14 -3.6010535724633340e+21 
+3.7000000000000002e+00 +4.5403919587954967e+01 -3.2857185544170053e+06 +2.0625155115769072e+14 -3.5796871424763510e+21 
+3.8000000000000003e+00 +4.5403913775098729e+01 -3.2826104575230647e+06 +2.0576786530912684e+14 -3.5614949072427727e+21 
+3.9000000000000004e+00 +4.5403908745517576e+01 -3.2802894701477936e+06 +2.0540684164424522e+14 -3.5479030847322886e+21 
+4.0000000000000000e+00 +4.5403904760463178e+01 -3.2789990929472558e+06 +2.0520647964912653e+14 -3.5403379047826677e+21 
+4.1000000000000005e+00 +4.5403902000125129e+01 -3.2789073858224782e+06 +2.0519303259460103e+14 -3.5397861076211823e+21 
+4.2000000000000002e+00 +4.5403900320488127e+01 -3.2798806727606277e+06 +2.0534577206278578e+14 -3.5454765715608279e+21 
+4.2999999999999998e+00 +4.5403899496474295e+01 -3.2817098364821346e+06 +2.0563222335329269e+14 -3.5561986831201353e+21 
+4.4000000000000004e+00 +4.5403899303012672e+01 -3.2841857639487144e+06 +2.0601991225702319e+14 -3.5707418436887438e+21 
+4.5000000000000000e+00 +4.5403899515024300e+01 -3.2870993375142808e+06 +2.0647636404560953e+14 -3.5878954392008225e+21 
+4.6000000000000005e+00 +4.5403899907440483e+01 -3.2902414455511719e+06 +2.0696910467268472e+14 -3.6064488759420975e+21 
+4.7000000000000002e+00 +4.5403900255182926e+01 -3.2934029705374138e+06 +2.0746565941202241e+14 -3.6251915397031841e+21 
+4.8000000000000007e+00 +4.5403900333181006e+01 -3.2963747998451688e+06 +2.0793355411183666e+14 -3.6429128337764196e+21 
+4.9000000000000004e+00 +4.5403899916357425e+01 -3.2989478165377327e+06 +2.0834031411024916e+14 -3.6584021458282548e+21 
+5.0000000000000000e+00 +4.5403898779640436e+01 -3.3009129073568149e+06 +2.0865346518554244e+14 -3.6704488770861117e+21 
+5.1000000000000005e+00 +4.5403896754661602e+01 -3.3021132342071384e+06 +2.0884861531746175e+14 -3.6781413641922774e+21 
+5.2000000000000002e+00 +4.5403893899875229e+01 -3.3026010668996768e+06 +2.0893370220546850e+14 -3.6817637143636471e+21 
+5.3000000000000007e+00 +4.5403890330445414e+01 -3.3024809546126616e+06 +2.0892474624443841e+14 -3.6818989852785944e+21 
+5.4000000000000004e+00 +4.5403886161535439e+01 -3.3018574459443372e+06 +2.0883776776435250e+14 -3.6791302327147944e+21 
+5.5000000000000000e+00 +4.5403881508308061e+01 -3.3008350893458403e+06 +2.0868878708241212e+14 -3.6740405121188259e+21 
+5.6000000000000005e+00 +4.5403876485925814e+01 -3.2995184329870287e+06 +2.0849382447982172e+14 -3.6672128778108834e+21 
